TestName,StartTime,EndTime,TotalRequests,TotalTime(s),TotalTransfer(Gb),Average(ms),Maximum(ms),StandardDeviation(ms),P50(ms),P90(ms),P95(ms),P97(ms),P99(ms),P99.99(ms),Error(%),RPS,TransferRaw(Bytes),Transfer(Gb/s)
RD01-postgres,2025-04-25T08:06:52Z,2025-04-25T08:07:02Z,7974,10.001,0.021,1.269,14.797,0.481,1.158,1.552,1.713,1.866,2.467,14.797,0.000,797.300,275524.667,0.002
TestName,StartTime,EndTime,TotalRequests,TotalTime(s),TotalTransfer(Gb),Average(ms),Maximum(ms),StandardDeviation(ms),P50(ms),P90(ms),P95(ms),P97(ms),P99(ms),P99.99(ms),Error(%),RPS,TransferRaw(Bytes),Transfer(Gb/s)
RD01-postgres,2025-04-25T08:25:53Z,2025-04-25T08:26:03Z,8345,10.004,0.021,1.204,14.970,0.379,1.140,1.322,1.539,1.682,2.122,14.970,0.000,834.134,288163.227,0.002
